Research Question 1: What types of tools are used in the pipeline?
Repositories with Jenkinsfiles downloaded from GitHub: 200
Number of Jenkinsfiles suitable for parsing: 177
Number of Different Build Tools: 6
"Different Types of Build Tools: ['maven', 'jdk', 'nodejs', 'git', 'gradle', 'go']"
Average Number of Build Tools Used Per Repository: 1.4915
"Frequency of Build Tool Use by Repository: maven: 0.54, jdk: 0.39, nodejs: 0.04, git: 0.01, gradle: 0.02, go: 0.0, "
"
"
Parsed Jenkinsfile Data
RepoNum,Username,RepositoryName,ToolType,ToolVersion,NumberOfTools
104,prasetyo531,mavenjob,maven,MAVEN_HOME,1
,,,jdk,JAVA_HOME,2
,,,,,
105,davidh87,jenkins-ci-testing,maven,maven3,1
,,,,,
106,koltysh,Maven,maven,vova,1
,,,,,
107,esolis-technisys,calculator,maven,maven_3.5.3,1
,,,jdk,java-8-oracle,2
,,,,,
108,Jyothinayak123,Jyothi,maven,Mav,1
,,,,,
109,kuona,kuona-project,jdk,jdk8,1
,,,,,
110,tsahaca,MyTestOrg,maven,maven 3,1
,,,jdk,java 8,2
,,,,,
111,FeatureIDE,FeatureIDE,maven,Maven 3.5.2,1
,,,,,
112,javadelight,scheduler,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
113,javadelight,delight-java-start-process,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
114,sunilyadav85,elevator-app,maven,localMaven,1
,,,,,
115,knoldus,jenkins-demo-app,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
116,OussMess,jenkins,maven,maven,1
,,,jdk,java8,2
,,,,,
117,ivans-innovation-lab,my-company-blog-materialized-view-microservice,maven,maven-3,1
,,,,,
118,semtexak,payvont-auth-server,maven,Maven 3.5.3,1
,,,jdk,jdk8,2
,,,,,
119,javadelight,delight-async-properties,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
120,guillelucero,webapp,maven,apache-maven-3.5.2,1
,,,,,
121,jesselurie,randomuser,nodejs,Node 6.x,1
,,,,,
122,peegee84,IdeaProjects,maven,M3,1
,,,jdk,jdk8,2
,,,,,
123,geovas78,onlinebanking-microservice,jdk,jdk1.8.0-162,1
,,,gradle,Gradle-4.6,2
,,,,,
124,mxro,tree-api,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
125,iilish,maven-example,jdk,jdk8,1
,,,maven,maven3,2
,,,,,
126,mxro,oneAsyncTests,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
127,nspobra,docker-maven-build,maven,maven-3.5.3,1
,,,jdk,jdk-8,2
,,,,,
128,babitadhami,Demo,maven,Maven 3.5.0,1
,,,jdk,jdk7,2
,,,,,
129,javadelight,delight-jre-utils,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
130,nehas19,jenkins-pipeline-,maven,Maven 3.5.3,1
,,,jdk,JDK1.8,2
,,,,,
131,pramodvishwa,Tutorial-Pipe,maven,MAVEN,1
,,,jdk,JAVA,2
,,,,,
132,javadelight,delight-server,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
133,javadelight,delight-keyvalue-android,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
134,javadelight,delight-maven-tools,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
135,ivans-innovation-lab,my-company-project-materialized-view,maven,maven-3,1
,,,,,
136,ivans-innovation-lab,my-company-project-materialized-view-microservice,maven,maven-3,1
,,,,,
137,arolls,FrameWork,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
138,yvgiridhar,maven,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
139,bonganim911,starter,nodejs,Default,1
,,,,,
140,javadelight,delight-clients,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
141,jenkins-infra,deprecated-usage-in-plugins,jdk,jdk8,1
,,,maven,mvn,2
,,,,,
142,mcaironeplc,demo-project,maven,Maven 3.5.2,1
,,,jdk,jdk8,2
,,,,,
143,kondusreenath,sree,maven,maven,1
,,,jdk,jdk8,2
,,,,,
144,flotorel,minishift-jenkinsfile,maven,maven,1
,,,,,
145,javadelight,delight-main,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
146,javadelight,delight-gwt-simple-linker,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
147,rveede,example-project-1,gradle,4.6,1
,,,,,
148,raghu502,second_jenkin,maven,Maven3.0.5,1
,,,jdk,java8,2
,,,,,
149,imranbohoran,csv-to-json,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
150,f608253,Java_Pipeline_Project,maven,Maven,1
,,,jdk,JAVA,2
,,,,,
151,NikoleK,selenium-cucumber-java,maven,maven,1
,,,jdk,jdk8,2
,,,git,git,3
,,,,,
152,javadelight,delight-simple-log-graylog,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
153,nuno-antao,hello-world-maven,maven,Maven 3.5.2,1
,,,jdk,JDK 9.0.4,2
,,,,,
154,nandhu8,myrepo,maven,mvncfg,1
,,,,,
155,Amogh1995,jenkinsfile,maven,M2_HOME,1
,,,jdk,JAVA_HOME,2
,,,,,
156,bennypi,catfood,maven,maven,1
,,,,,
157,javadelight,delight-concurrency,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
158,javadelight,delight-decoupled-gwt-rpc,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
159,javadelight,delight-http-firewall,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
160,BRV147,Maven,maven,maffin,1
,,,,,
161,ajaykumar011,maven_java_tutorial,maven,Maven3.1.1,1
,,,jdk,java8,2
,,,,,
162,cidemo-integration-tests,express-demo,nodejs,node-7,1
,,,,,
163,mxro,java-file-utils,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
164,javadelight,delight-js-exec-api,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
165,ilopeza,webapp,maven,apache-maven-3.5.2,1
,,,,,
166,herrmann,jasdd,maven,Maven 3.5.0,1
,,,jdk,jdk7,2
,,,,,
167,ivans-innovation-lab,my-company-support,maven,maven-3,1
,,,,,
168,BRV147,Maven,maven,maffin,1
,,,,,
169,nuno-antao,hello-world-maven,maven,Maven 3.5.2,1
,,,jdk,JDK 9.0.4,2
,,,,,
170,ivans-innovation-lab,my-company-blog-domain-microservice,maven,maven-3,1
,,,,,
171,javadelight,delight-trie-map-java,maven,mvn3.5.2,1
,,,jdk,jdk9,2
,,,,,
172,fxjordan,spring-hateoas-hal-support,jdk,jdk-8,1
,,,,,
173,akhilvaranasi90,deployable-mvn-webapp,maven,maven-3,1
,,,jdk,Java-8,2
,,,,,
174,ivans-innovation-lab,my-company-blog-materialized-view,maven,maven-3,1
,,,,,
175,SunilNagavelli,MYGITREPO,maven,Maven3.1.1,1
,,,jdk,java8,2
,,,,,
176,abhishek0329,JenkinsMaven,maven,Maven3.1.1,1
,,,jdk,java8,2
,,,,,
177,markramach,spring-boot-prototype-docker,maven,maven,1
,,,,,
