Research Question #3: In which pipeline sections or pipeline directives are artifacts most frequently and least frequently archived?
Answer: 
Section,NumArtifacts,Percentage
stage,159,60.5
post-always,53,20.2
post-success,26,9.9
post-failure,25,9.5
"
"
Jenkinsfile Parsed Data for Artifacts and Sections
RepoNum,Username,RepositoryName,Artifact,ParentSection,SectionName,Occurrence
151,dittoslash,conductor,conductor-arm,stage,CompileARM,1
151,dittoslash,conductor,conductor-x86,stage,CompileX86,2
152,sandeep078,Sample,*.jar,post-always,always,1
152,sandeep078,Sample,*.jar,post-always,always,2
153,camielvanramele,Graduation-Internship,genesis.json,post-failure,failure,1
153,camielvanramele,Graduation-Internship,config.ini,post-failure,failure,2
153,camielvanramele,Graduation-Internship,stderr.txt,post-failure,failure,3
153,camielvanramele,Graduation-Internship,test_walletd_output.log,post-failure,failure,4
153,camielvanramele,Graduation-Internship,genesis.json,post-failure,failure,5
153,camielvanramele,Graduation-Internship,config.ini,post-failure,failure,6
153,camielvanramele,Graduation-Internship,stderr.txt,post-failure,failure,7
153,camielvanramele,Graduation-Internship,test_walletd_output.log,post-failure,failure,8
153,camielvanramele,Graduation-Internship,genesis.json,post-failure,failure,9
153,camielvanramele,Graduation-Internship,config.ini,post-failure,failure,10
153,camielvanramele,Graduation-Internship,stderr.txt,post-failure,failure,11
153,camielvanramele,Graduation-Internship,test_walletd_output.log,post-failure,failure,12
154,CodeValet,codevalet.io,*.html,post-always,always,1
154,CodeValet,codevalet.io,**,post-success,success,2
155,dek8000,eos,genesis.json,post-failure,failure,1
155,dek8000,eos,config.ini,post-failure,failure,2
155,dek8000,eos,stderr.txt,post-failure,failure,3
155,dek8000,eos,test_walletd_output.log,post-failure,failure,4
155,dek8000,eos,genesis.json,post-failure,failure,5
155,dek8000,eos,config.ini,post-failure,failure,6
155,dek8000,eos,stderr.txt,post-failure,failure,7
155,dek8000,eos,test_walletd_output.log,post-failure,failure,8
155,dek8000,eos,genesis.json,post-failure,failure,9
155,dek8000,eos,config.ini,post-failure,failure,10
155,dek8000,eos,stderr.txt,post-failure,failure,11
155,dek8000,eos,test_walletd_output.log,post-failure,failure,12
156,CodeValet,ruby-service-template,*.html,post-always,always,1
156,CodeValet,ruby-service-template,**,post-success,success,2
157,nenov-nikola,shop,*.war,post-success,success,1
158,Ysingle,jenkins_MyFirstPipeline,*.jar,post-always,always,1
