Research Question #6: Which archived artifact file extensions are most frequently and least frequently fingerprinted?
Answer: 
fingerprint,Extension,NumArtifacts,Percentage
true,.jar,62,55.9
true,None,17,15.3
true,All,10,9.0
true,.zip,7,6.3
true,.sh,4,3.6
true,.war,4,3.6
true,.xml,4,3.6
true,.html,3,2.7
"
"
"Jenkinsfile Parsed Data for Artifacts, Fingerprints and Extensions"
RepoNum,Username,RepositoryName,Extension,fingerprint,Occurrence
179,tosektosek,cinematograph,None,false,1
180,Beartigger,JavaProject,.jar,true,1
181,evankicks,billingservice,.war,true,1
182,jarlehansen,spring-boot-blueocean,.jar,true,1
183,cbroom,java-project,.jar,true,1
184,chrisi,vv-workshop-hello,.jar,false,1
185,awsndevopstraining,myweb,.war,false,1
186,daiando,java-project,.jar,true,1
187,paolocarrasco,springboot-demo,.jar,true,1
188,sabdulrahim,app,.war,false,1
189,anand0305,test,.jar,true,1
190,karthikrmw,JavaPrJ,.jar,true,1
191,netors,cli,All,true,1
192,dharmsheta,application-build,.sh,true,1
193,pablotj,threeInLine-animated,.jar,true,1
194,sunketIngale,helloWorldDCB,None,false,1
195,red997,jen-java-project,.jar,true,1
196,kirankumarbussa,calculator,.jar,true,1
